Sample in Buffer	Sample in Window	counter17	counter16	counter15	counter14	counter13	counter12	counter11	counter10	counter9	counter8	counter7	counter6	counter5	counter4	counter3	counter2	counter1	pufout	mux1_out	clockcounter_out
174	174	3304	3216	3228	3256	3247	3264	3251	3312	3210	3180	1071	1183	3200	3072	3182	000	000	0	0	000	
175	175	3303	3217	3229	3256	3246	3264	3250	3327	3210	3180	46	1171	3200	3072	3182	000	000	0	0	000	
176	176	3304	3216	3229	3256	3247	3264	3251	3329	3210	3180	47	1184	3200	3072	3183	000	000	0	0	000	
177	177	3303	3216	3229	3256	3247	3264	3250	3327	3210	3180	47	1183	3200	3072	3182	000	000	0	0	000	
178	178	3303	3216	3229	3255	3247	3264	3251	3327	3211	3180	47	1183	3200	3072	3183	000	000	0	0	000	
179	179	3304	3216	3228	3256	3247	3264	3251	3328	3210	3180	47	1183	3200	3072	3183	000	000	0	0	000	
180	180	3304	3216	3229	3256	3247	3264	3251	3329	3210	3181	47	1183	3200	3072	3183	000	000	0	0	000	
181	181	3304	3216	3228	3256	3247	3264	3251	3327	3211	3180	47	1183	3200	3072	3183	000	000	0	0	000	
182	182	3304	3216	3228	3256	3248	3264	3251	3327	3210	3181	47	1183	3200	3072	3183	000	000	0	0	000	
183	183	3304	3216	3228	3256	3247	3264	3251	3327	3211	3181	47	1183	3200	3072	3182	000	000	0	0	000	
184	184	3304	3216	3228	3256	3248	3264	3251	3328	3210	3181	111	1183	3200	3072	3183	000	000	0	0	000	
185	185	3304	3217	3230	3257	3248	3265	3251	3329	3211	3181	111	1184	3200	3072	3183	000	000	0	0	000	
186	186	3303	3216	3228	3256	3247	3264	3250	3327	3211	3180	110	1183	3200	3072	3182	000	000	0	0	000	
187	187	3304	3216	3228	3256	3247	3264	3251	3328	3210	3181	111	1183	3200	3072	3183	000	000	0	0	000	
188	188	3304	3217	3229	3257	3249	3265	3251	3328	3211	3181	111	1184	3200	3072	3183	000	000	0	0	000	
189	189	3303	3217	3229	3256	3247	3264	3250	3327	3212	3180	110	1184	3200	3072	3182	000	000	0	0	000	
190	190	3303	3216	3228	3256	3247	3264	3250	3327	3210	3180	39	1183	3200	3072	3187	000	000	0	0	000	
191	191	3303	3216	3228	3256	3247	3264	3255	3327	3210	3180	46	1183	3200	3072	3182	000	000	0	0	000	
192	192	3303	3217	3228	3256	3247	3264	3251	3327	3211	3180	47	1183	3200	3072	3183	000	000	0	0	000	
193	193	3304	3216	3228	3256	3247	3264	3251	3327	3210	3181	47	1183	3200	3072	3182	000	000	0	0	000	
194	194	3304	3216	3228	3256	3247	3264	3251	3327	3210	3180	47	1183	3200	3072	3183	000	000	0	0	000	
195	195	3304	3216	3228	3256	3247	3264	3255	3327	3212	3180	48	1183	3200	3072	3183	000	000	0	0	000	
196	196	3304	3216	3229	3256	3248	3265	3251	3328	3210	3180	47	1183	3200	3072	3183	000	000	0	0	000	
197	197	3303	3216	3228	3256	3247	3264	3251	3327	3210	3180	47	1184	3200	3072	3182	000	000	0	0	000	
198	198	3303	3216	3228	3256	3247	3264	3251	3327	3212	3180	47	1183	3200	3072	3183	000	000	0	0	000	
199	199	3303	3216	3228	3256	3247	3264	3251	3327	3210	3180	47	1183	3200	3072	3182	000	000	0	0	000	
200	200	3303	3216	3228	3256	3247	3264	3251	3328	3211	3180	111	1183	3200	3072	3183	000	000	0	0	000	
201	201	3303	3216	3228	3255	3247	3279	3251	3327	3210	3180	111	1183	3200	3072	3182	000	000	0	0	000	
202	202	3304	3217	3229	3256	3248	3264	3251	3328	3210	3181	1073	1185	3200	3072	3183	000	000	0	0	000	
203	203	3303	3217	3228	3256	3247	3264	3251	3072	3211	3180	47	1183	3200	3072	3183	000	000	0	0	000	
204	204	3303	3216	3228	3256	3248	3264	3251	3329	3210	3180	47	1183	3200	3072	3183	000	000	0	0	000	
205	205	3303	3216	3228	3255	3248	3264	3254	3328	3210	3180	47	1183	3200	3072	3184	000	000	0	0	000	
206	206	3303	3217	3228	3256	3248	3264	3251	3328	3211	3180	47	1183	3200	3072	3183	000	000	0	0	000	
207	207	3303	3216	3229	3256	3248	3264	3251	3328	3210	3180	47	1183	3200	3072	3183	000	000	0	0	000	
208	208	3304	3216	3228	3256	3248	3265	3251	3328	3210	3181	47	1183	3200	3072	3183	000	000	0	0	000	
209	209	3303	3217	3228	3256	3248	3264	3250	3327	3210	3180	1071	1183	3200	3072	3182	000	000	0	0	000	
210	210	3304	3216	3228	3256	3248	3264	3251	3327	3211	3180	47	1183	3200	3072	3183	000	000	0	0	000	
211	211	3303	3216	3228	3256	3247	3264	3250	3327	3209	3180	111	1184	3200	3072	3182	000	000	0	0	000	
212	212	3304	3217	3228	3257	3248	3265	3251	3328	3211	3183	47	1183	3200	3072	3183	000	000	0	0	000	
213	213	3303	3216	3228	3256	3248	3264	3251	3328	3210	3180	47	1183	3200	3072	3182	000	000	0	0	000	
214	214	3303	3217	3228	3256	3248	3264	3251	3327	3215	3180	48	1183	3200	3072	3184	000	000	0	0	000	
215	215	3303	3216	3229	3256	3248	3264	3251	3327	3209	3180	47	1183	3200	3072	3182	000	000	0	0	000	
