Sample in Buffer	Sample in Window	counter14	counter13	counter12	counter11	counter10	counter9	counter8	counter7	counter6	counter5	counter4	counter3	counter2	counter1	counter0	pufout	mux1_out	clockcounter_out
299	299	0	0	1	1	1	0	1	0	0	1	1	1	0	0	0	1	1	000	
300	300	0	1	0	1	1	1	1	0	1	0	0	0	1	0	0	0	0	000	
301	301	0	1	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	000	
302	302	0	1	1	1	1	0	1	0	1	0	1	0	0	0	0	1	1	000	
303	303	1	1	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	000	
304	304	0	1	0	1	1	1	0	1	0	0	0	0	1	1	0	0	0	000	
305	305	0	0	1	1	1	0	1	0	0	0	0	1	0	0	1	0	0	000	
306	306	0	1	1	1	1	0	1	0	1	1	0	1	0	0	1	0	0	000	
307	307	0	1	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	000	
308	308	0	1	1	1	1	1	0	1	1	0	0	0	1	1	1	0	0	000	
309	309	0	1	1	1	1	0	1	1	1	0	0	1	1	0	0	0	0	000	
310	310	1	1	1	1	1	0	1	0	1	1	0	1	0	0	0	1	1	000	
311	311	0	1	1	1	1	0	1	0	1	0	0	1	1	1	0	0	0	000	
312	312	0	1	1	1	0	1	0	1	1	0	0	1	1	1	0	0	0	000	
313	313	0	1	1	1	1	0	1	0	1	1	0	1	1	0	0	0	1	000	
314	314	0	1	1	1	1	0	0	1	1	1	0	1	1	1	0	0	1	000	
315	315	0	1	1	1	1	0	0	1	1	1	0	1	1	1	0	0	1	000	
316	316	0	1	1	1	1	0	1	0	0	1	0	1	1	0	1	0	1	000	
317	317	0	1	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	000	
318	318	0	1	0	0	0	1	0	1	1	0	1	0	1	1	0	0	0	000	
319	319	0	1	1	1	1	0	0	0	0	1	0	1	1	0	0	0	1	000	
320	320	0	1	1	1	1	0	0	1	1	1	0	1	1	0	0	0	1	000	
321	321	0	1	1	1	1	0	0	1	1	1	0	0	1	0	0	0	1	000	
322	322	0	1	0	1	1	0	0	1	1	1	0	0	1	0	0	1	1	000	
323	323	0	1	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	000	
324	324	0	1	1	1	1	0	0	0	1	1	0	1	1	0	0	1	1	000	
325	325	0	1	1	1	1	0	1	0	0	1	0	1	1	0	1	0	0	000	
326	326	0	1	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	000	
